usuario_id,mes,es_mes_actual,categoria,monto
1,2026-03,False,FOOD,52816.32
1,2026-03,False,TRANSPORT,38658.62
1,2026-03,False,HOUSING,46370.64
1,2026-03,False,UTILITIES,166614.87
1,2026-03,False,ENTERTAINMENT,141338.41
1,2026-03,False,HEALTH,70810.65
1,2026-03,False,EDUCATION,55515.59
1,2026-03,False,SHOPPING,52703.82
1,2026-04,False,FOOD,47317.21
1,2026-04,False,TRANSPORT,64641.74
1,2026-04,False,HOUSING,65376.87
1,2026-04,False,UTILITIES,133811.03
1,2026-04,False,ENTERTAINMENT,143686.85
1,2026-04,False,HEALTH,67872.53
1,2026-04,False,EDUCATION,74883.75
1,2026-04,False,SHOPPING,61209.7
1,2026-05,False,FOOD,30306.92
1,2026-05,False,TRANSPORT,18204.44
1,2026-05,False,HOUSING,18319.03
1,2026-05,False,UTILITIES,118468.36
1,2026-05,False,ENTERTAINMENT,136552.26
1,2026-05,False,HEALTH,83975.69
1,2026-05,False,EDUCATION,87635.22
1,2026-05,False,SHOPPING,139955.07
1,2026-06,False,FOOD,21919.2
1,2026-06,False,TRANSPORT,39029.65
1,2026-06,False,HOUSING,54321.47
1,2026-06,False,UTILITIES,173912.07
1,2026-06,False,ENTERTAINMENT,106356.0
1,2026-06,False,HEALTH,97069.38
1,2026-06,False,EDUCATION,58752.67
1,2026-06,False,SHOPPING,95208.74
1,2026-07,False,FOOD,36580.88
1,2026-07,False,TRANSPORT,57730.66
1,2026-07,False,HOUSING,61306.05
1,2026-07,False,UTILITIES,119117.06
1,2026-07,False,ENTERTAINMENT,81474.7
1,2026-07,False,HEALTH,126582.23
1,2026-07,False,EDUCATION,45948.23
1,2026-07,False,SHOPPING,70825.07
1,2026-08,True,FOOD,34521.86
1,2026-08,True,TRANSPORT,25605.24
1,2026-08,True,HOUSING,50791.59
1,2026-08,True,UTILITIES,102107.5
1,2026-08,True,ENTERTAINMENT,78144.29
1,2026-08,True,HEALTH,187903.69
1,2026-08,True,EDUCATION,41121.49
1,2026-08,True,SHOPPING,75762.56
2,2026-03,False,FOOD,30670.17
